EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,ManagerTenureRatio,RolePromoGapDiff,CareerVelocity,CompRatioToRoleAvg,OverallSatisfaction,CareerStage,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityIndex,RetentionPriorityLevel,TrainingNeedIndicator,ManagerStabilityImpact,PrescriptiveAction,ClusterID,HierarchicalClusterID,PCA1,PCA2,PCA3,CareerCluster
PANW-1026,32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,0.545,0.182,0.455,2.333,0.636,-4,0.091,1.21,2.0,Established Stage (7-12 yrs),43.0,Medium Risk,43.8,Already Attrited,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Exit Analysis & Knowledge Transfer,3,0,0.757,-0.325,0.849,High-Risk Stagnation Profiles
PANW-1027,42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0.4,0.7,0.2,0.25,0.2,3,0.182,0.99,3.0,Established Stage (7-12 yrs),60.9,High Risk,76.3,Immediate Action,Moderate Development Need,Moderate Manager Continuity,Promotion & Compensation Review,3,1,0.798,1.241,0.15,High-Risk Stagnation Profiles
PANW-1028,44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0.217,0.261,0.174,2.429,0.739,1,0.12,1.36,3.0,Veteran Stage (13+ yrs),42.8,Medium Risk,66.2,Watchlist,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Manager Mentorship & Skip-Level Check-in,2,1,3.948,-2.375,0.062,Stable Long-Term Contributors
PANW-1029,46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0.667,0.667,0.667,0.333,0.333,0,0.217,1.1,2.25,Early Stage (0-2 yrs),41.2,Medium Risk,69.4,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,1,1,0.659,-0.332,1.482,Fast-Track Performers
PANW-1030,33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.0,0.5,1.5,0.0,0.0,1,0.125,0.77,3.5,Early Stage (0-2 yrs),15.6,Low Risk,60.5,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,1,4,-2.298,0.317,-0.553,Fast-Track Performers
PANW-1031,44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.2,0.4,1.0,1.0,0.6,1,0.2,0.86,4.0,Growth Stage (3-6 yrs),19.8,Low Risk,61.9,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.998,-0.32,0.136,Fast-Track Performers
PANW-1032,30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0.091,0.0,0.455,8.0,0.727,-1,0.091,0.68,2.75,Established Stage (7-12 yrs),7.2,Low Risk,53.8,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,4,3,0.372,-3.94,-0.392,Promotion-Stalled Employees
PANW-1033,39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.0,0.0,3.0,0.0,0.0,0,0.1,0.79,3.75,Early Stage (0-2 yrs),0.0,Low Risk,30.0,Already Attrited,Sufficiently Trained,Recent Manager Transition,Exit Analysis & Knowledge Transfer,0,2,-2.673,-1.854,0.819,Early-Career Explorers
PANW-1034,24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.667,0.0,0.667,0.0,0.0,-2,0.143,0.71,2.25,Early Stage (0-2 yrs),7.0,Low Risk,32.4,Already Attrited,Moderate Development Need,Recent Manager Transition,Exit Analysis & Knowledge Transfer,1,4,-1.809,0.505,1.304,Fast-Track Performers
PANW-1035,43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0.167,0.5,0.5,1.0,0.667,2,0.143,0.82,3.25,Growth Stage (3-6 yrs),29.1,Low Risk,68.9,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,1,4,-0.709,0.377,-0.663,Fast-Track Performers
PANW-1036,50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,0.0,0.5,0.5,0.667,0.5,2,0.25,1.02,2.5,Growth Stage (3-6 yrs),22.5,Low Risk,34.1,Already Attrited,Moderate Development Need,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-1.765,0.439,-0.838,Fast-Track Performers
PANW-1037,35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0.667,0.667,1.0,0.667,0.667,0,0.333,0.77,3.0,Early Stage (0-2 yrs),29.9,Low Risk,65.5,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-1.401,1.849,1.196,Fast-Track Performers
PANW-1038,36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.0,0.5,1.5,0.0,0.0,1,0.143,1.06,2.75,Early Stage (0-2 yrs),26.9,Low Risk,60.7,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,1,4,-2.388,0.399,-0.583,Fast-Track Performers
PANW-1039,33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.167,0.5,0.5,0.75,0.5,2,0.182,0.78,2.0,Growth Stage (3-6 yrs),36.6,Medium Risk,71.6,Immediate Action,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.534,0.035,-0.53,Fast-Track Performers
PANW-1040,35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0.0,0.0,1.5,0.0,0.0,0,0.5,0.6,3.25,Early Stage (0-2 yrs),0.0,Low Risk,55.0,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-3.803,-0.327,1.107,Early-Career Explorers
PANW-1041,27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0.0,0.0,3.0,0.0,0.0,0,0.5,0.72,3.0,Early Stage (0-2 yrs),11.2,Low Risk,58.9,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-4.443,-0.528,1.786,Early-Career Explorers
PANW-1042,26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,0.0,0.0,1.0,1.0,0.5,0,0.5,0.71,2.25,Early Stage (0-2 yrs),3.8,Low Risk,23.8,Already Attrited,Moderate Development Need,Recent Manager Transition,Exit Analysis & Knowledge Transfer,0,2,-3.364,-0.65,0.849,Early-Career Explorers
PANW-1043,27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0.1,0.8,0.0,0.778,0.7,7,0.3,1.26,3.5,Established Stage (7-12 yrs),52.2,Medium Risk,73.3,Immediate Action,High Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,1.102,0.434,-0.934,High-Risk Stagnation Profiles
PANW-1044,30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0.231,0.615,0.154,0.778,0.538,5,0.154,1.24,3.5,Established Stage (7-12 yrs),50.9,Medium Risk,79.1,Immediate Action,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,0,1.5,0.477,-0.843,High-Risk Stagnation Profiles
PANW-1045,41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.652,0.652,0.0,0.5,0.348,0,0.208,1.22,3.0,Veteran Stage (13+ yrs),80.0,High Risk,58.0,Already Attrited,High Development Need,Prolonged Stagnant Manager Dyad,Exit Analysis & Knowledge Transfer,2,0,5.766,0.409,2.54,Stable Long-Term Contributors
PANW-1046,34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0.8,0.5,0.2,1.167,0.7,-3,0.182,0.66,2.75,Established Stage (7-12 yrs),59.9,High Risk,82.2,Immediate Action,Moderate Development Need,Prolonged Stagnant Manager Dyad,Manager Mentorship & Skip-Level Check-in,3,0,1.724,1.132,1.581,High-Risk Stagnation Profiles
PANW-1047,37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0,0.111,0.93,2.0,Early Stage (0-2 yrs),7.5,Low Risk,63.9,Watchlist,Moderate Development Need,Recent Manager Transition,Upskilling & Training Program,1,2,-2.378,-0.561,-0.718,Fast-Track Performers
PANW-1048,46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.0,0.6,0.4,1.143,0.8,6,0.133,0.83,2.75,Established Stage (7-12 yrs),33.8,Medium Risk,73.1,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.779,-0.396,-1.625,High-Risk Stagnation Profiles
PANW-1049,35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0.0,0.0,1.0,1.0,0.5,0,0.5,0.7,3.75,Early Stage (0-2 yrs),0.0,Low Risk,58.8,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,0,2,-3.395,-0.584,0.663,Early-Career Explorers
PANW-1050,48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.125,1.66,2.75,Early Stage (0-2 yrs),3.8,Low Risk,27.6,Already Attrited,Moderate Development Need,Recent Manager Transition,Exit Analysis & Knowledge Transfer,1,2,-1.451,-2.108,0.157,Fast-Track Performers
PANW-1051,28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,0.667,0.667,1.0,0.667,0.667,0,0.333,1.06,2.75,Early Stage (0-2 yrs),33.7,Medium Risk,41.8,Already Attrited,Sufficiently Trained,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-1.401,1.849,1.196,Fast-Track Performers
PANW-1052,44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.2,0.6,0.4,0.75,0.6,2,0.2,0.79,2.0,Growth Stage (3-6 yrs),39.1,Medium Risk,74.9,Immediate Action,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-0.534,0.395,-0.627,Fast-Track Performers
PANW-1053,35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.4,0.0,0.6,3.0,0.6,-2,0.273,1.31,2.5,Growth Stage (3-6 yrs),18.2,Low Risk,57.6,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.736,-1.962,1.451,Fast-Track Performers
PANW-1054,26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.0,0.667,0.667,0.0,0.0,2,0.333,0.6,3.0,Early Stage (0-2 yrs),22.9,Low Risk,59.3,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,1,4,-1.902,0.701,-0.619,Fast-Track Performers
PANW-1055,33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0.5,0.875,0.062,0.8,0.75,6,0.188,0.84,2.75,Veteran Stage (13+ yrs),74.9,High Risk,81.2,Immediate Action,High Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,1,4.199,1.26,0.386,Stable Long-Term Contributors
PANW-1056,35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0.1,0.8,0.3,0.889,0.8,7,0.3,1.31,2.25,Established Stage (7-12 yrs),59.8,High Risk,82.2,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,1.063,0.396,-1.003,High-Risk Stagnation Profiles
